title,company,salary,location,link,platform
"Principal Software Engineer, Architecture (AI/ML)",DigitalOcean,281500.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-architecture-ai-ml-digitalocean-JV_IC1154532_KO0,46_KE47,59.htm?jl=1009517551144",G
Staff Software Engineer,HubSpot,273500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-hubspot-JV_IC1154545_KO0,23_KE24,31.htm?jl=1009537195421",G
"Senior Director, Web Experience",Klaviyo,260000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-director-web-experience-klaviyo-JV_IC1154532_KO0,30_KE31,38.htm?jl=1009420465011",G
Senior/Staff Software Engineer - Machine Learning,Zoox,257500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-staff-software-engineer-machine-learning-zoox-JV_IC1154532_KO0,47_KE48,52.htm?jl=1009338918213",G
Senior/Staff Software Engineer - Prediction Machine Learning Engineer,Zoox,256500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-staff-software-engineer-prediction-machine-learning-engineer-zoox-JV_IC1154532_KO0,67_KE68,72.htm?jl=1009338918441",G
Software Engineer (Technical Leadership) - Machine Learning,Meta,253000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-technical-leadership-machine-learning-meta-JV_IC1154532_KO0,55_KE56,60.htm?jl=1009082250145",G
Software Engineer (Technical Leadership) - Machine Learning,Meta,253000.0,"Boston, MA 02142 (East Cambridge area)",https://www.indeed.com/rc/clk?jk=1ddd854381be6c03&bb=YQiGIxFEG3ALdRBPwnikZkoH6fJvwszKgnQkM2sC-8b18w4m6h95QlHLNsIrQHT7OWqlcWs98DKYs9JTGBQWSoW3lnjyJZhBVe4EvY5W44f9VTgx2blmdw%3D%3D&xkcb=SoA467M34YxlLtSTwx0ObzkdCdPP&fccid=ba07516c418dda52&vjs=3,I
Staff Software Engineer - Platform,Anduril Industries,245000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=71cfe23ccab0ee6f&bb=hTUji0jLRRzO0mhplYJJLd18H6Inc2ZyHjAThkRF9AxxynxZMzv8X5kIOvU8K3GJ9NfgbHqv5FxLPCyj2us8JFZS1gifnQMP_FI_t_8JKWGOLkrWo0qGn9cwljZu_71E&xkcb=SoA567M34Yxq97S4SZ0AbzkdCdPP&fccid=3f7b0eacc8de6549&vjs=3,I
"Staff Software Engineer - Real Time Systems, Mission Autonomy",Anduril Industries,245000.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-real-time-systems-mission-autonomy-anduril-industries-JV_IC1154532_KO0,58_KE59,77.htm?jl=1009551656832",G
Senior/Staff Perception Machine Learning Engineer - 3D Tracking,Zoox,241500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-staff-perception-machine-learning-engineer-3d-tracking-zoox-JV_IC1154532_KO0,61_KE62,66.htm?jl=1009338917701",G
Lead Data Engineer - Data Automations,Klaviyo,235000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=2214948fe1ca5adc&bb=npAr0yumJDxCgDBYmX0v7Q_qoSDInKF5vwlhnrTIfmq979KamA_8Hw5crrMVP-pxXiBDzXXviqOxCRwkbkcXQq9hTI_B8rHDm_gez9_y6qvf82pqgd8nhQEdvU7Qjn0g&xkcb=SoBu67M34YxhJuW0Dp0JbzkdCdPP&fccid=398c4fa163ac001f&vjs=3,I
Lead Software Engineer - SRE,Klaviyo,235000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=33a2b9c933a698d3&bb=NWb4eYLT5Of4wpevVvK4g8wuePd5wqDm0t-6_KQc0UE3u9NQBa6sWMJtdAH0K43iHwAd7_nJgR9RUJuV0tXkxRzb_z-kHtvE6nYM3Y1U8srMjhwSOOOpRLlw9LQxz5nQ&xkcb=SoB_67M34YxifKyTwx0IbzkdCdPP&fccid=398c4fa163ac001f&vjs=3,I
Lead Software Engineer - Events,Klaviyo,235000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=8facdb0d2588d1a5&bb=nj3g3GQAItENUIgKoFq_O6AqmBhI8ufJn7zzUnbxg25T2pvwsBWtOzuXgQrO99Y5_Kdh8sH75XNEXYw3lrU50ssuWOJXWNPImkFybZlitL4d6PBGMAl8b10tM2dUXHSe&xkcb=SoAL67M34YxoE2QH2h0NbzkdCdPP&fccid=398c4fa163ac001f&vjs=3,I
