title,company,salary,location,link,platform
Staff Software Engineer,HubSpot,273500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-hubspot-JV_IC1154545_KO0,23_KE24,31.htm?jl=1009537195421",G
"Senior Director, Web Experience",Klaviyo,260000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-director-web-experience-klaviyo-JV_IC1154532_KO0,30_KE31,38.htm?jl=1009420465011",G
Senior/Staff Software Engineer - Machine Learning,Zoox,257500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-staff-software-engineer-machine-learning-zoox-JV_IC1154532_KO0,47_KE48,52.htm?jl=1009338918213",G
Senior/Staff Software Engineer - Machine Learning,Zoox,257500.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=4ccdb4444d5f2dee&bb=Q9WXnNQJa5OEqUHuaEhyhQohryeHBx6rPgnwbVZS5CGoGxELJ1MXv85zFGuw91eWASQj2zl1ldMoCvcevnb2t6eIxH1_jt2wcWJb4zqPhTq48JCKYMdKav4xJkFIlX3z&xkcb=SoAT67M34ZLcL7y4SZ0MbzkdCdPP&fccid=44f9aa469b1c1a0c&vjs=3,I
Senior/Staff Software Engineer - Prediction Machine Learning Engineer,Zoox,256500.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=86c5d88b8edb9a71&bb=L3jpMlhzIalpbxh98Mh1L6UjwjiokBJDkuXAUK8h_cyMQETvhPZl2STD4Z1W3VVssVjZGP7pr5FM1cdm1AoXBIl2xM-LgfNBZ7il_CmqcyjUhxyTJ4eKRiefQUlinBGV&xkcb=SoDw67M34ZLfLFQHyB0CbzkdCdPP&fccid=44f9aa469b1c1a0c&vjs=3,I
Senior/Staff Software Engineer - Prediction Machine Learning Engineer,Zoox,256500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-staff-software-engineer-prediction-machine-learning-engineer-zoox-JV_IC1154532_KO0,67_KE68,72.htm?jl=1009338918441",G
Software Engineer (Technical Leadership) - Machine Learning,Meta,253000.0,"Boston, MA 02142 (East Cambridge area)",https://www.indeed.com/rc/clk?jk=1ddd854381be6c03&bb=qxDfBDaIzl1_zKx9XZ35BCDdNmxrsiQjSRK_725-T6-ykP7gZeFV0t66mCMJd8xrAPWiVgyonKC0UZliTJSj7m445uNVWF6gWNDM5f2Jx9Fn5h-lCBPZGw%3D%3D&xkcb=SoBY67M34ZLcqh2oJh0AbzkdCdPP&fccid=ba07516c418dda52&vjs=3,I
Software Engineer (Technical Leadership) - Machine Learning,Meta,253000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-technical-leadership-machine-learning-meta-JV_IC1154532_KO0,55_KE56,60.htm?jl=1009082250145",G
Principal Front-End Engineer,Analog Devices,251500.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-front-end-engineer-analog-devices-JV_IC1154532_KO0,28_KE29,43.htm?jl=1009222206203",G
"Staff Software Engineer - Real Time Systems, Mission Autonomy",Anduril Industries,245000.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-real-time-systems-mission-autonomy-anduril-industries-JV_IC1154532_KO0,58_KE59,77.htm?jl=1009551656832",G
