title,company,salary,location,link
Coding Expertise for AI Training (Italian),Outlier Ai,78000.0,"Boston, MA","https://www.glassdoor.com/job-listing/coding-expertise-for-ai-training-italian-outlier-ai-JV_IC1154532_KO0,40_KE41,51.htm?jl=1009562281434"
Graphics Software Engineer - (4 years experience req),"Scalable Display Technologies, Inc",120500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/graphics-software-engineer-4-years-experience-req-scalable-display-technologies-inc-JV_IC1154545_KO0,49_KE50,83.htm?jl=1009508930184"
Software Developer - AI Trainer,DataAnnotation,83200.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-developer-ai-trainer-dataannotation-JV_IC1154532_KO0,29_KE30,44.htm?jl=1009556241633"
Lead Software Engineer - Machine Learning,Fidelity TalentSource,145500.0,"Boston, MA","https://www.glassdoor.com/job-listing/lead-software-engineer-machine-learning-fidelity-talentsource-JV_IC1154532_KO0,39_KE40,61.htm?jl=1009268193812"
Senior Software Engineer (Golang),Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-golang-capital-one-JV_IC1154545_KO0,31_KE32,43.htm?jl=1009552846479"
Software Engineer,Cogo Labs,137000.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineer-cogo-labs-JV_IC1154545_KO0,17_KE18,27.htm?jl=1009489668886"
Cybersecurity / DevOps Engineer - Ping / Entra,Liberty Mutual,114500.0,"Boston, MA","https://www.glassdoor.com/job-listing/cybersecurity-devops-engineer-ping-entra-liberty-mutual-JV_IC1154532_KO0,40_KE41,55.htm?jl=1009554755404"
Software Engineer,Snyk,108500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-snyk-JV_IC1154532_KO0,17_KE18,22.htm?jl=1009540589622"
Associate Software Engineer: Free and Open-source Biological Imaging Software,Broad Institute,58000.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/associate-software-engineer-free-and-open-source-biological-imaging-software-broad-institute-JV_IC1154545_KO0,76_KE77,92.htm?jl=1009564100211"
Senior Software Engineer (C++/QT),Motion Recruitment,132500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-c-qt-motion-recruitment-JV_IC1154532_KO0,29_KE30,48.htm?jl=1009567998029"
