title,company,salary,location,link
Coding Expertise for AI Training (Italian),Outlier Ai,$25 - $50 an hour,"Boston, MA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De7scZMGRktcRm1xquClSEeXRaD9t0XBHJvo7d6kcpE__7mYCFjOpB_uIHp2etyOdk7r4WL8YhdV1ZBVgBqCRoQkE3_gJ5WyVEgSIgG_Ltlww6HPN9BCp3q4PjqsP4gfL6CC7vGiSvi0CrP_OsOguwLBUphC2ghQBnBWESEHg6UWAPaiXWVo4ocrxZ75O3oT6Goi7xK-5P8A2tFMKtgrTj8qN9L7PpnZjlQhDuFzNQMPU3MpLk3Qw8zyiRmW9XpZ48dC3pLoOR0TjWQxWlfRHqRCUrPNJUeqCmyQeoMC_M1oFb4I9HOATkCo6H2WcmKPKCu3hk4iud9LLkAioXQ2-gpaoEwhAqqetLf6BdUxDUfeN8nw129BkGGknENuK1gDXI9fF8hdSEWKTVbUJwFiHUs9UX1Zhov7hJIgBduxCNunazMEwRXm9VTW9ihHKLwreSmM4BffmTGsVJfNWQ0UoITOruwCs9bdWuhlW90k9vSQd7G2yq_IDShZ6Odoyhq1KhMvC5cTN3_6C5BRLVButNsuSOx5J3FKy6R6_JCo3cTSkjOku7mNUxn6kDpZLc_z8m22qgfzguJlTIefyxus7s_9J6OthGITfZY3oTO1ajfY2H6PkxpXCajgNyP2lVCDKi0Syr60gZSftLhxXHShrNI8offBXENNTvxiSEyGpow7eho9inS_oAsEofQgSc4aGuSOYB_kMKBBEumXo5uWWD708ut5SFgD7vm3_4_Hth15SaC3kKSXKKJ7E0JeTdWpg9p3bTkiJFKP393TcZXsSceaMOnHEAi3SMQbupQzqsoiUtoGBc7ofQ5DnFdtDYMhAgMnUf61qeeOtFCm0AdLTk-d_IXz8rgpT4acqeFF02VTZq4J6JAG2iUqhRlCX5WitAI9XegNbdJKsZfJMZa6Xs67ysVcAUKpfecDMz5fXFKfU0RSFC0CkYA3cTcSctd5hpb51akU6avhD4DguX1p8nvBDM4wJxyBB1WyO9mYSTyDjoyOakiFNcjdkE_OW4Oaf4VEEG02v_ZCkJYk1woFY985uZiK78nPIUGaBeufrB1RHYU1lmZSbdxuPb1rd6l2p3ToSvUPdFBdLj1vwjEJPUMDVwb-E138ejlubm8qhzH_Q9XcJJ_MI-4ZD8H6l_9-p2JNwkZZnuJK7FQavXfThL4YRrjszzLaIHa4vRBm2EjlMPXqO-CH8FXBKd9af-k1LfvpIf91SemwBoUWv0pXJd_0xcFrOHQJPWzpGc9XA1Z0lUn6qkZxBEHrrAuN8vyldIgc8x2SsDxlI-4qVQ-uv6NhBC-KraY6cTsYFQ9s-17krR9KREsnyrkAfi-mqhl2rMcgX71w5iRXg_1yPiG8TnUNniomYWUYmtFLhh3rlz0DzYM1H3uAU0ymzYdY2iD4unb-hgt2d_pECdOussGGWZ54ZmVHaow1ulmKGLJlD6-KVbMA_HP8JTZIGoi-_HoDw0OaC0iHHJb4-EVQd_yePt8vFv45GK6ih5ho5uS26jU9B39env7UU8dMmOVjPbo6wLOZZ-2-fROTAL48rquKqUXjtEXm7bz8pk29kIV6Z0TWoLxEpxtplVMs_N1dhfLbw=&xkcb=SoAX6_M34t_PRrS4VZ0LbzkdCdPP&camk=nUmJqO2E8rhQEKr17yElKg==&p=0&fvj=0&vjs=3
Lead Software Engineer - Machine Learning,Fidelity TalentSource,,"Hybrid work in Boston, MA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AoYXfdOe7El6-Ykny_IbMrQLc_ftZ75MJybi-dJXWXjjbbbfIDm3MMTtrHH6pSNKc3RhD7s5zezIKY716DSzrWzkrrDpArRGdYtj5Kl9EqRiC4l7GrgyoUAQUHHt-CUBZbAzcfjxzDh2uffNRY1LCWX8EgddPNxqJMDoBrbueLe0gmR7Cq_WeGAXlJqX59Sp_xOd-DiLutMY0iJVtGBTLW_z0hlFk8BRAd_gOU6B0Bn4B5B1PCStmH5QOfMBJVncXDJY2FGe2U-8PQcpKaLDsHyucJ5IuJvxJPnDuqB9kvasp8pV1RwB_bvErMp1CB2o1S2yq-zdpj-3hnslgjIRgoYLygI-80Zl-cEu1Ka0f4h73BKWLGXnSX_NV5sbeOPrewW42lW_JuASZyAQNS0YW4MKqT_XaAVGLethgH2FOtOd4eyenqftYC9UwpG48qDypzuvOMYXPD95mJLBUY8GAhrQOWXMpJ295GfuPCpVUJLSEf5Fuhg5S7Ow1kKUyiGcZdUjYzik7ocT4onhN5jcdu36S-VNwzyFZLX-bYtFpaFH70s2tUZ5CIWhYmF5-xKL6c6vkx12IfQrmxcrpdQcxDzJyHRhMfavEV3cCpT-zMs7o-wyLBm9ETWFEyyxVGvmjTK7VNf6P9qpgDYt8WoRCZ3ViG6KuP8xWD-LCj2DI3_9BoDXxRXvc2WcGGyahGAIDbzqdzNqGBre9LdpYpPMTRSYsoLbUtWhyDDV2b_i3qdr-O1M9f4DTfugmOtHZGHIyoRLYg4Fsgqw==&xkcb=SoCj6_M34t_PRrS4VZ0KbzkdCdPP&camk=nUmJqO2E8rjYhzTO52ezgw==&p=1&fvj=0&vjs=3
Software Developer - AI Trainer,DataAnnotation,From $40 an hour,"Remote in Boston, MA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiKLJXfhH4majT342sg1htkXznXt14BiqQu6zN0FTfqI6YsuNTFJSscR43UMtUyRkvhUHSGlWb9AE9YYIq8Mny7X1n-TxlPw-y0ED4n3T7YMnZEVcHjheH94E1sX880kqh2EH0TDYxuSpTcz7YWJneyQpq5CxwTig4Lq_26S37_owjYScdifxrw1bBLm9-4UPVFfOXmDbIJn_cH4M8yFBXNjYnxMAbXKvvnjPeizqWF8QSLzXNRSvvmSRPPv9gJxZteJTEsVGV_93-tzyVaCKAteSBqZFGSJ8Y6AoHoJ3eourd1gzCqvm-pMmbAetNCz8D-Ylje4T-A0a8zm1rAdMI1JMSYCHHopQabH8ipQJBYnZz1fu9NVgK1GtnX2hNCQT2GH1hOq8RjOCPwwsa5GYSLIktnYLoI47d5TvhrR3IzuIqdVSBrY1FwawCmJpGai9y_Ib30MWIP3Tr_kQumVpw1V1p6L7ED7maiwSI-gWQlppJxMYkqajaOrd_RYTKtht1nsMhxKlcAdtr6r0mnYTvkAF690RjWwlK8EFx0Tm3uMxOGE7_w5FMf-4ZeBW1V4wvcN7Cx8gZufKDCadP68bKn1FMKEb5Yvabw2XLo-u9LHKmSC988YofpIO51xTLN-AE1yUmQsuKFQrerwqr_cXC4ROzBvZaHKJhyfcLQDgu46yxujNF_UudMSp3UrpjWR8iSdGds72WKR2pXxzAN30Hbf4hc3H1Z_pWHG50iiIJA_P915ybpjq1Cj8QQxxan0ZtZkG8cQbPc4BdMEQcKGdzf9Ex8gyERnw0Y6g0Nf2bs9p1ZgyWKxVREF69MdY6eJiWg==&xkcb=SoA-6_M34t_PRrS4VZ0JbzkdCdPP&camk=nUmJqO2E8rj04_zQlVAF4g==&p=2&fvj=0&vjs=3
Software Engineer,Cogo Labs,"$132,596 - $141,294 a year","Cambridge, MA 02139",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DjdesWNR-6MzUhRRJSfqCy9uRalm2A2gZYTHSrSvGm7KWkRx8vGMm_zXpRyP0OE8vQVcbJqBAcJpOKBQbvbpuHOffGQag1LvX6j3y4cdEvhk1PAaCcliGiEOBZbomNUE3Lm1y5XpJp1dDDSyY8qpfGmgh00oBTghkZkGPLtG4iN7FuNFWAj71vndnXnX2SFYg9OprltWxAtTkK5qsfTu0Qp24lv-jctL9-QAMYldYlhcQXcpqmagZihtd70KH9hPcOi06PMj7RD4JXsEK7g0zo-EB1FBnmWNXGSWkwQqnh2rMLvQ5q8Hm0gdDfycaamkq3QKzhWAxe6biPB4QEyQoLi35qGghwVR18pbLTJm6iRQJIvkS5a2daMrw-nKMzHGp1S79Hm7EVwz3w6jhhb7xPXhJBoqVrbK9ssBFGeaHOjbi-e0rHbwEAA9X13Y4yrdkLSDW6kSHaOydML7qBeL5s9nd3WWxQJENq8pUoxoWPIS3y9Ak3XGLC4P2rRaUS1t0wVn32vQSco2lvtsZl7O9Mx5HF6SMHzuXRBUvho7VeLIC1cSEJe0QESut3KsOs203tC5y_GZ7dGjOkogFgbKpguLa6c5mNe0-aqt_XAkCoBEM2_OT3wgfdzsx2kol1xmC5sB8aHE5xXQ==&xkcb=SoCK6_M34t_PRrS4VZ0IbzkdCdPP&camk=nUmJqO2E8rj5OP1_B3zZ1A==&p=3&fvj=0&vjs=3
Software Engineer I,Chewy,,"Boston, MA 02210 (South Boston area)",https://www.indeed.com/rc/clk?jk=05d06018a7296c96&bb=Jz9wSa6hB-l0Di0Ve6-MXHtc0FsH6EeBttFEKRkAOnWHgX67hY8RuDr412GFvsQYT3Xx6qBmvdOTs4hQ0zAo2bjGk2XuOnQqHTz6aeDdEpJCEX2u8Coc2nL7iIW8NOUq&xkcb=SoDw67M34t_PRrS4VZ0PbzkdCdPP&fccid=b6add0e6a71f1008&vjs=3
Sr. Software Engineer - Release Engineering,HashiCorp,"$176,000 - $207,000 a year","Remote in Boston, MA",https://www.indeed.com/rc/clk?jk=ef087dbf0a750ce1&bb=Jz9wSa6hB-l0Di0Ve6-MXIBwVYSxE2stwIffTAcj-uoUQSihI-lmuLjO5gLqzt_F-8orORJsCmw5ZyQmB3-MvKT--GeAz_NNuFtV_EexBAID_AbQG3WoQ98QYsXJ1jv3&xkcb=SoBE67M34t_PRrS4VZ0ObzkdCdPP&fccid=044076f542c2a482&vjs=3
"Software Engineer, Backend/Server-Side",Catalytic Data Science,,"Boston, MA",https://www.indeed.com/rc/clk?jk=8dc78a138679e4c4&bb=Jz9wSa6hB-l0Di0Ve6-MXEbhJgxmI7n16aGq-YaAK2ihrLx0PVRwkPtHSJYprs_6J0V1xBQIBO0x2tm-yh9GFg-fcON6Z752UQ7p_0rdBo20O7S6PIKP9SZDBkOLAZCO&xkcb=SoDZ67M34t_PRrS4VZ0NbzkdCdPP&fccid=876854e9c7d69cba&vjs=3
Software Engineer (Feature Team),"Ikigai Labs, Inc.",,"Cambridge, MA",https://www.indeed.com/rc/clk?jk=8019136ca552603d&bb=Jz9wSa6hB-l0Di0Ve6-MXGmCx5kfq7q35Pdt4uxqeDVuQMkglJUDMpFV6nL_-LYG2kausiM0Nk7GshhMxsy1R84p1smkvW-W1ShtCgAYJsvIYS9fVBBtJTI0hxXwRu6I&xkcb=SoBt67M34t_PRrS4VZ0MbzkdCdPP&fccid=4e2a8df9246355bb&vjs=3
Full-stack Software Engineer,John Hancock,"$85,750 - $159,250 a year","Boston, MA",https://www.indeed.com/rc/clk?jk=2c53c76d3e0ba163&bb=Jz9wSa6hB-l0Di0Ve6-MXEwAQVZJA-R41EGZGZkpIIOPFcISfJlTwOqVly333mfFc0dsWbuPmdP4NPlqHNQfKoXVOHip_LAAiwdqPOo7tFu4gnxG5IF_HZdDqmd4_4ZL&xkcb=SoCE67M34t_PRrS4VZ0DbzkdCdPP&fccid=162cc6ce9af9f3c6&vjs=3
Software Engineer II,SimpliSafe,,"Hybrid work in Boston, MA",https://www.indeed.com/rc/clk?jk=c628bc1e34db54e5&bb=Jz9wSa6hB-l0Di0Ve6-MXFmVXHAS-Ujna6iklZJDi2M0_o-T_zzpju03321TF09NvO0rEnwSm_OhlV3pZPYoZbhIrJHs4KwStTO_1S5MIYIb48hohdISpDQbxRPIuhfw&xkcb=SoAw67M34t_PRrS4VZ0CbzkdCdPP&fccid=6b6a458534673d45&vjs=3
