title,company,salary,location,link
Software Developer - AI Trainer,DataAnnotation,$40.00 Per Hour (Employer est.),"Boston, MA","https://www.glassdoor.com/job-listing/software-developer-ai-trainer-dataannotation-JV_IC1154532_KO0,29_KE30,44.htm?jl=1009556241633"
"Senior Software Engineer, Back End",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-back-end-capital-one-JV_IC1154545_KO0,33_KE34,45.htm?jl=1009465065560"
"Senior Software Engineer, Full Stack",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-full-stack-capital-one-JV_IC1154545_KO0,35_KE36,47.htm?jl=1009535046238"
"Senior Software Engineer, DevOps",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-devops-capital-one-JV_IC1154545_KO0,31_KE32,43.htm?jl=1009483949449"
Lead Software Engineer,Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/lead-software-engineer-capital-one-JV_IC1154545_KO0,22_KE23,34.htm?jl=1009539628359"
"Senior Lead Software Engineer, Full Stack",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-lead-software-engineer-full-stack-capital-one-JV_IC1154545_KO0,40_KE41,52.htm?jl=1009498241785"
"Lead Software Engineer, Full Stack",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/lead-software-engineer-full-stack-capital-one-JV_IC1154545_KO0,33_KE34,45.htm?jl=1009531159446"
Embedded Software Engineer,H2Ok Innovations,,"Somerville, MA","https://www.glassdoor.com/job-listing/embedded-software-engineer-h2ok-innovations-JV_IC1154685_KO0,26_KE27,43.htm?jl=1009556214970"
Software Engineer,Cogo Labs,$133K - $141K (Employer est.),"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineer-cogo-labs-JV_IC1154545_KO0,17_KE18,27.htm?jl=1009489668886"
C++ Software Engineer,Motion Recruitment,$100K - $130K (Employer est.),"Boston, MA","https://www.glassdoor.com/job-listing/c-software-engineer-motion-recruitment-JV_IC1154532_KO0,19_KE20,38.htm?jl=1009552802965"
"Senior Manager, Software Engineering, Back End",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-manager-software-engineering-back-end-capital-one-JV_IC1154545_KO0,44_KE45,56.htm?jl=1009533481725"
"Lead Software Development Engineer, Android Apps Team",Amazon.com,$121K - $163K (Glassdoor est.),"Cambridge, MA","https://www.glassdoor.com/job-listing/lead-software-development-engineer-android-apps-team-amazon-com-JV_IC1154545_KO0,52_KE53,63.htm?jl=1009533980036"
"Lab Automation Engineer III, Field Service",Thermo Fisher Scientific,,"Cambridge, MA","https://www.glassdoor.com/job-listing/lab-automation-engineer-iii-field-service-thermo-fisher-scientific-JV_IC1154545_KO0,41_KE42,66.htm?jl=1009550114756"
"Software Engineering Manager, Enterprise Entitlements Engineering Team",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-enterprise-entitlements-engineering-team-capital-one-JV_IC1154545_KO0,69_KE70,81.htm?jl=1009465065450"
Lead Machine Learning Engineer,Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/lead-machine-learning-engineer-capital-one-JV_IC1154545_KO0,30_KE31,42.htm?jl=1009480420401"
"Quantitative Developer, Associate",Arrowstreet Capital,$108K - $158K (Glassdoor est.),"Boston, MA","https://www.glassdoor.com/job-listing/quantitative-developer-associate-arrowstreet-capital-JV_IC1154532_KO0,32_KE33,52.htm?jl=1009463844000"
Software Engineer,"Red Hat, Inc.",$104K - $166K (Employer est.),"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-red-hat-inc-JV_IC1154532_KO0,17_KE18,29.htm?jl=1009551788770"
FedNow Software Engineer,Federal Reserve Bank of Boston,$98K - $138K (Glassdoor est.),"Boston, MA","https://www.glassdoor.com/job-listing/fednow-software-engineer-federal-reserve-bank-of-boston-JV_IC1154532_KO0,24_KE25,55.htm?jl=1009551929869"
"Software Engineer I, Android SDK",Cambridge Mobile Telematics,$99K - $138K (Glassdoor est.),"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineer-i-android-sdk-cambridge-mobile-telematics-JV_IC1154545_KO0,31_KE32,59.htm?jl=1009200680985"
"Associate Staff Engineer, IOT",Nagarro,$93K - $155K (Glassdoor est.),"Boston, MA","https://www.glassdoor.com/job-listing/associate-staff-engineer-iot-nagarro-JV_IC1154532_KO0,28_KE29,36.htm?jl=1009013232015"
Java Developer,Intone Networks,,"Boston, MA","https://www.glassdoor.com/job-listing/java-developer-intone-networks-JV_IC1154532_KO0,14_KE15,30.htm?jl=1009550211176"
Software Engineer II,Wayfair,$117K - $141K (Glassdoor est.),"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-ii-wayfair-JV_IC1154532_KO0,20_KE21,28.htm?jl=1009558534155"
Global IT Software Engineer Senior Manager - GenAI,Boston Consulting Group,$164K - $239K (Glassdoor est.),"Boston, MA","https://www.glassdoor.com/job-listing/global-it-software-engineer-senior-manager-genai-boston-consulting-group-JV_IC1154532_KO0,48_KE49,72.htm?jl=1009526962799"
Senior Software Quality Engineer,"Red Hat, Inc.",$117K - $186K (Employer est.),"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-quality-engineer-red-hat-inc-JV_IC1154532_KO0,32_KE33,44.htm?jl=1009556133149"
Associate Software Engineer,"LinkSquares, Inc.",,"Boston, MA","https://www.glassdoor.com/job-listing/associate-software-engineer-linksquares-inc-JV_IC1154532_KO0,27_KE28,43.htm?jl=1009555903424"
Full Stack .NET Developer - EdTech,Motion Recruitment,$120K - $145K (Employer est.),"Boston, MA","https://www.glassdoor.com/job-listing/full-stack-net-developer-edtech-motion-recruitment-JV_IC1154532_KO0,31_KE32,50.htm?jl=1009554779957"
"Software Engineer, Platform - DataLake",Athenahealth,,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-platform-datalake-athenahealth-JV_IC1154532_KO0,35_KE36,48.htm?jl=1009496790865"
Software Engineer (Full Stack),"Red Hat, Inc.",$104K - $166K (Employer est.),"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-full-stack-red-hat-inc-JV_IC1154532_KO0,28_KE29,40.htm?jl=1009550144235"
Software Engineer (Back end),Broad Institute,$84K - $131K (Glassdoor est.),"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineer-back-end-broad-institute-JV_IC1154545_KO0,26_KE27,42.htm?jl=1009519349791"
Principal Software Engineer,"Red Hat, Inc.",$163K - $270K (Employer est.),"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-red-hat-inc-JV_IC1154532_KO0,27_KE28,39.htm?jl=1009553304721"
Software Developer - AI Trainer,DataAnnotation,$40.00 Per Hour (Employer est.),"Boston, MA","https://www.glassdoor.com/job-listing/software-developer-ai-trainer-dataannotation-JV_IC1154532_KO0,29_KE30,44.htm?jl=1009556241633"
"Senior Software Engineer, Back End",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-back-end-capital-one-JV_IC1154545_KO0,33_KE34,45.htm?jl=1009465065560"
