title,company,salary,location,link
Software Developer - AI Trainer,DataAnnotation,83200.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-developer-ai-trainer-dataannotation-JV_IC1154532_KO0,29_KE30,44.htm?jl=1009556241633"
"Senior Software Engineer, Back End",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-back-end-capital-one-JV_IC1154545_KO0,33_KE34,45.htm?jl=1009465065560"
"Senior Software Engineer, Full Stack",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-full-stack-capital-one-JV_IC1154545_KO0,35_KE36,47.htm?jl=1009535046238"
"Senior Software Engineer, DevOps",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-devops-capital-one-JV_IC1154545_KO0,31_KE32,43.htm?jl=1009483949449"
Lead Software Engineer,Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/lead-software-engineer-capital-one-JV_IC1154545_KO0,22_KE23,34.htm?jl=1009539628359"
"Senior Lead Software Engineer, Full Stack",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-lead-software-engineer-full-stack-capital-one-JV_IC1154545_KO0,40_KE41,52.htm?jl=1009498241785"
"Lead Software Engineer, Full Stack",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/lead-software-engineer-full-stack-capital-one-JV_IC1154545_KO0,33_KE34,45.htm?jl=1009531159446"
Embedded Software Engineer,H2Ok Innovations,,"Somerville, MA","https://www.glassdoor.com/job-listing/embedded-software-engineer-h2ok-innovations-JV_IC1154685_KO0,26_KE27,43.htm?jl=1009556214970"
Software Engineer,Cogo Labs,137000.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineer-cogo-labs-JV_IC1154545_KO0,17_KE18,27.htm?jl=1009489668886"
C++ Software Engineer,Motion Recruitment,115000.0,"Boston, MA","https://www.glassdoor.com/job-listing/c-software-engineer-motion-recruitment-JV_IC1154532_KO0,19_KE20,38.htm?jl=1009552802965"
"Senior Manager, Software Engineering, Back End",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-manager-software-engineering-back-end-capital-one-JV_IC1154545_KO0,44_KE45,56.htm?jl=1009533481725"
"Lead Software Development Engineer, Android Apps Team",Amazon.com,142000.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/lead-software-development-engineer-android-apps-team-amazon-com-JV_IC1154545_KO0,52_KE53,63.htm?jl=1009533980036"
"Lab Automation Engineer III, Field Service",Thermo Fisher Scientific,,"Cambridge, MA","https://www.glassdoor.com/job-listing/lab-automation-engineer-iii-field-service-thermo-fisher-scientific-JV_IC1154545_KO0,41_KE42,66.htm?jl=1009550114756"
"Software Engineering Manager, Enterprise Entitlements Engineering Team",Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-enterprise-entitlements-engineering-team-capital-one-JV_IC1154545_KO0,69_KE70,81.htm?jl=1009465065450"
Lead Machine Learning Engineer,Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/lead-machine-learning-engineer-capital-one-JV_IC1154545_KO0,30_KE31,42.htm?jl=1009480420401"
"Quantitative Developer, Associate",Arrowstreet Capital,133000.0,"Boston, MA","https://www.glassdoor.com/job-listing/quantitative-developer-associate-arrowstreet-capital-JV_IC1154532_KO0,32_KE33,52.htm?jl=1009463844000"
Software Engineer,"Red Hat, Inc.",135000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-red-hat-inc-JV_IC1154532_KO0,17_KE18,29.htm?jl=1009551788770"
FedNow Software Engineer,Federal Reserve Bank of Boston,118000.0,"Boston, MA","https://www.glassdoor.com/job-listing/fednow-software-engineer-federal-reserve-bank-of-boston-JV_IC1154532_KO0,24_KE25,55.htm?jl=1009551929869"
"Software Engineer I, Android SDK",Cambridge Mobile Telematics,118500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineer-i-android-sdk-cambridge-mobile-telematics-JV_IC1154545_KO0,31_KE32,59.htm?jl=1009200680985"
"Associate Staff Engineer, IOT",Nagarro,124000.0,"Boston, MA","https://www.glassdoor.com/job-listing/associate-staff-engineer-iot-nagarro-JV_IC1154532_KO0,28_KE29,36.htm?jl=1009013232015"
Java Developer,Intone Networks,,"Boston, MA","https://www.glassdoor.com/job-listing/java-developer-intone-networks-JV_IC1154532_KO0,14_KE15,30.htm?jl=1009550211176"
Software Engineer II,Wayfair,129000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-ii-wayfair-JV_IC1154532_KO0,20_KE21,28.htm?jl=1009558534155"
Global IT Software Engineer Senior Manager - GenAI,Boston Consulting Group,201500.0,"Boston, MA","https://www.glassdoor.com/job-listing/global-it-software-engineer-senior-manager-genai-boston-consulting-group-JV_IC1154532_KO0,48_KE49,72.htm?jl=1009526962799"
Senior Software Quality Engineer,"Red Hat, Inc.",151500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-quality-engineer-red-hat-inc-JV_IC1154532_KO0,32_KE33,44.htm?jl=1009556133149"
Associate Software Engineer,"LinkSquares, Inc.",,"Boston, MA","https://www.glassdoor.com/job-listing/associate-software-engineer-linksquares-inc-JV_IC1154532_KO0,27_KE28,43.htm?jl=1009555903424"
Full Stack .NET Developer - EdTech,Motion Recruitment,132500.0,"Boston, MA","https://www.glassdoor.com/job-listing/full-stack-net-developer-edtech-motion-recruitment-JV_IC1154532_KO0,31_KE32,50.htm?jl=1009554779957"
"Software Engineer, Platform - DataLake",Athenahealth,,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-platform-datalake-athenahealth-JV_IC1154532_KO0,35_KE36,48.htm?jl=1009496790865"
Software Engineer (Full Stack),"Red Hat, Inc.",135000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-full-stack-red-hat-inc-JV_IC1154532_KO0,28_KE29,40.htm?jl=1009550144235"
Software Engineer (Back end),Broad Institute,107500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/software-engineer-back-end-broad-institute-JV_IC1154545_KO0,26_KE27,42.htm?jl=1009519349791"
Principal Software Engineer,"Red Hat, Inc.",216500.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-red-hat-inc-JV_IC1154532_KO0,27_KE28,39.htm?jl=1009553304721"
Frontend Software Engineer,Motion Recruitment,,"Boston, MA","https://www.glassdoor.com/job-listing/frontend-software-engineer-motion-recruitment-JV_IC1154532_KO0,26_KE27,45.htm?jl=1009540364027"
Quantitative DevOps Engineer,Motion Recruitment,135000.0,"Boston, MA","https://www.glassdoor.com/job-listing/quantitative-devops-engineer-motion-recruitment-JV_IC1154532_KO0,28_KE29,47.htm?jl=1009514050950"
Android Developer,Motion Recruitment,132500.0,"Boston, MA","https://www.glassdoor.com/job-listing/android-developer-motion-recruitment-JV_IC1154532_KO0,17_KE18,36.htm?jl=1009552802951"
Senior Software Engineer,"Red Hat, Inc.",169500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-red-hat-inc-JV_IC1154532_KO0,24_KE25,36.htm?jl=1009551393855"
Associate Software Engineer (AI-Based IDE Plugins),"Red Hat, Inc.",108000.0,"Boston, MA","https://www.glassdoor.com/job-listing/associate-software-engineer-ai-based-ide-plugins-red-hat-inc-JV_IC1154532_KO0,48_KE49,60.htm?jl=1009551789420"
Senior Software Engineer,"Red Hat, Inc.",169500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-red-hat-inc-JV_IC1154532_KO0,24_KE25,36.htm?jl=1009549778533"
Senior Software Engineer (AI-Based IDE Plugins),"Red Hat, Inc.",169500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-ai-based-ide-plugins-red-hat-inc-JV_IC1154532_KO0,45_KE46,57.htm?jl=1009550144938"
"Software Engineer I (Web, Growth)",WHOOP,139500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-i-web-growth-whoop-JV_IC1154532_KO0,30_KE31,36.htm?jl=1009501395117"
Software Engineer,Keystone Strategy,150000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-keystone-strategy-JV_IC1154532_KO0,17_KE18,35.htm?jl=1009558461896"
"Software Engineer, CAT E&A",Berkshire Hathaway Specialty Insurance,135000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-cat-ea-berkshire-hathaway-specialty-insurance-JV_IC1154532_KO0,24_KE25,63.htm?jl=1009554756940"
Senior Software Quality Engineer,"Red Hat, Inc.",151500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-quality-engineer-red-hat-inc-JV_IC1154532_KO0,32_KE33,44.htm?jl=1009551393890"
FRONTEND ENGINEER,Airspace Intelligence,,"Boston, MA","https://www.glassdoor.com/job-listing/frontend-engineer-airspace-intelligence-JV_IC1154532_KO0,17_KE18,39.htm?jl=1008840803950"
Staff Software Engineer,HubSpot,273500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-hubspot-JV_IC1154545_KO0,23_KE24,31.htm?jl=1009537195421"
Software Engineer,Escher Group,123500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-escher-group-JV_IC1154532_KO0,17_KE18,30.htm?jl=1009556506290"
"Senior Software Engineer, Backend (Trip Processing)",Cambridge Mobile Telematics,120500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-backend-trip-processing-cambridge-mobile-telematics-JV_IC1154545_KO0,48_KE49,76.htm?jl=1009478973996"
Senior Cloud Engineer,Bain Capital,,"Boston, MA","https://www.glassdoor.com/job-listing/senior-cloud-engineer-bain-capital-JV_IC1154532_KO0,21_KE22,34.htm?jl=1009543456519"
FedNow Sr DevOps Engineer,Federal Reserve Bank of Boston,136000.0,"Boston, MA","https://www.glassdoor.com/job-listing/fednow-sr-devops-engineer-federal-reserve-bank-of-boston-JV_IC1154532_KO0,25_KE26,56.htm?jl=1009543534552"
Director of Release Management and Software Quality,Cohere Health,177500.0,"Boston, MA","https://www.glassdoor.com/job-listing/director-of-release-management-and-software-quality-cohere-health-JV_IC1154532_KO0,51_KE52,65.htm?jl=1009519409226"
DevOps/Java Engineer,Intone Networks,,"Boston, MA","https://www.glassdoor.com/job-listing/devops-java-engineer-intone-networks-JV_IC1154532_KO0,20_KE21,36.htm?jl=1009538319482"
Über C# dev,Window Book,,"Cambridge, MA","https://www.glassdoor.com/job-listing/%C3%BCber-c-dev-window-book-JV_IC1154545_KO0,10_KE11,22.htm?jl=1006187164381"
Software Quality Engineer,"Red Hat, Inc.",121000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-quality-engineer-red-hat-inc-JV_IC1154532_KO0,25_KE26,37.htm?jl=1009550144929"
Programmer Analyst,Massachusetts General Hospital(MGH),,"Boston, MA","https://www.glassdoor.com/job-listing/programmer-analyst-massachusetts-general-hospital-mgh-JV_IC1154532_KO0,18_KE19,53.htm?jl=1009517376813"
Software Engineer,Snyk,108500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-snyk-JV_IC1154532_KO0,17_KE18,22.htm?jl=1009540589622"
Diagnostic Software Engineer,Lextel,122500.0,"Boston, MA","https://www.glassdoor.com/job-listing/diagnostic-software-engineer-lextel-JV_IC1154532_KO0,28_KE29,35.htm?jl=1006292335706"
Software Test Engineer,Capgemini,98560.8,"Boston, MA","https://www.glassdoor.com/job-listing/software-test-engineer-capgemini-JV_IC1154532_KO0,22_KE23,32.htm?jl=1009453123310"
Principal Software Engineer,Microsoft,216000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-microsoft-JV_IC1154532_KO0,27_KE28,37.htm?jl=1009556360074"
Lead Cloud Engineer (RapidScale),Cox Communications,156500.0,United States,"https://www.glassdoor.com/job-listing/lead-cloud-engineer-rapidscale-cox-communications-JV_KO0,30_KE31,49.htm?jl=1009497778161"
"Software Engineer, iOS",Meta,146993.6,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-ios-meta-JV_IC1154532_KO0,21_KE22,26.htm?jl=1008882787505"
"Software Developer I, MS C#, .net","enLabel Global Services, Inc",99500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-developer-i-ms-c-net-enlabel-global-services-inc-JV_IC1154532_KO0,29_KE30,57.htm?jl=1008704790282"
Software Quality Assurance Engineer,LifeYield,95500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-quality-assurance-engineer-lifeyield-JV_IC1154532_KO0,35_KE36,45.htm?jl=1009405689633"
Software Developer - AI Trainer,DataAnnotation,83200.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/software-developer-ai-trainer-dataannotation-JV_IC1154545_KO0,29_KE30,44.htm?jl=1009556244144"
Senior Software Engineer (Golang),Capital One,,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-golang-capital-one-JV_IC1154545_KO0,31_KE32,43.htm?jl=1009552846479"
Software Engineer with Logistics and Mailing Company,Motion Recruitment,107500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-with-logistics-and-mailing-company-motion-recruitment-JV_IC1154532_KO0,52_KE53,71.htm?jl=1009558367280"
