,title,company,location,salary,link
0,Software Engineer,Cogo Labs,"Cambridge, MA 02139",136945.0,https://www.indeed.com/viewjob?jk=670c3e2a67d2e4b0
1,"Software Engineer, Android","Vivint, Inc.","Boston, MA 02108",,https://www.indeed.com/viewjob?jk=575f0956fbf56047
2,Gameplay Designer,CD PROJEKT RED,"Remote in Boston, MA",100450.0,https://www.indeed.com/viewjob?jk=09f12ae483464a1d
3,Associate Quality Engineer,Veeva Systems,"Hybrid remote in Boston, MA",102500.0,https://www.indeed.com/viewjob?jk=1b8a1838e576a0a6
4,FRONT-END DEVELOPER,Pixels 360,"Boston, MA 02210",,https://www.indeed.com/viewjob?jk=87f41bf11aa0a5cb
5,Junior Software Developer,NetCapital,"Boston, MA",,https://www.indeed.com/viewjob?jk=4e552fa4c9cbbd6c
6,Technical Support Engineer 2 - Boston,Datadog,"Boston, MA",90000.0,https://www.indeed.com/viewjob?jk=51a589c2cf5d1554
7,.Net Developer (Need only locals),Aptivacorp,"Chelsea, MA 02150",114400.0,https://www.indeed.com/viewjob?jk=735b611b5405515f
8,Java Developer,Intone Networks,"Boston, MA",,https://www.indeed.com/viewjob?jk=3e503c2b51207e3e
9,"Frontend Software Engineer, Hotels",KAYAK,"Cambridge, MA",,https://www.indeed.com/viewjob?jk=8fb2be65bebe38a4
10,Software Engineer,MIT,"Cambridge, MA 02139",,https://www.indeed.com/viewjob?jk=2394073345d523f4
11,"Associate Staff Engineer, IOT",Nagarro,"Boston, MA",,https://www.indeed.com/viewjob?jk=262fd3b25062f559
12,Frontend Engineer,Topsort,"Remote in Boston, MA",,https://www.indeed.com/viewjob?jk=b045f42e37d3f7b9
13,Digital Web Developer,Veeva Systems,"Boston, MA",115000.0,https://www.indeed.com/viewjob?jk=32e0abe22872cf10
14,Über C# dev,Window Book,"Cambridge, MA 02139",,https://www.indeed.com/viewjob?jk=9db65823946c554b
